"Location","String Value","String Representation","Data Type"
"82001350","TouchScreenAdapter_Fake","\"TouchScreenAdapter_Fake\"","ds"
"82001368","RedeemCodeAdapter_WII","\"RedeemCodeAdapter_WII\"","ds"
"82001380","RedeemCodeAdapter_WIN32","\"RedeemCodeAdapter_WIN32\"","ds"
"82001398","RedeemCodeAdapter_X360","\"RedeemCodeAdapter_X360\"","ds"
"820013b0","RedeemCodeAdapter_PS3","\"RedeemCodeAdapter_PS3\"","ds"
"820013c8","RewardAdapter_Orbis","\"RewardAdapter_Orbis\"","ds"
"820013dc","RewardAdapter_PS3","\"RewardAdapter_PS3\"","ds"
"820013f0","RewardAdapter_Durango","\"RewardAdapter_Durango\"","ds"
"82001408","RewardAdapter_x360","\"RewardAdapter_x360\"","ds"
"8200141c","RewardAdapter_x64","\"RewardAdapter_x64\"","ds"
"82001430","RewardAdapter_win32","\"RewardAdapter_win32\"","ds"
"82001444","InstallManager","\"InstallManager\"","ds"
"82001454","OnlineAdapter_WII","\"OnlineAdapter_WII\"","ds"
"82001468","OnlineAdapter_Hermes","\"OnlineAdapter_Hermes\"","ds"
"82001480","HTTPFileServiceProvider_Wii","\"HTTPFileServiceProvider_Wii\"","ds"
"8200149c","HTTPFileServiceProvider_Hermes","\"HTTPFileServiceProvider_Hermes\"","ds"
"820014bc","NetworkServices","\"NetworkServices\"","ds"
"820014cc","TCPAdapter_ITF","\"TCPAdapter_ITF\"","ds"
"820014dc","patch","\"patch\"","ds"
"820014e4","bundle","\"bundle\"","ds"
"820014ec","Version error","\"Version error\"","ds"
"82001500","ENGINE IS TOO OLD for this data folder.
Please get a more recent version.

Your version is:	%u
Version needed:	%u

IT'S STRONGLY ADVISED TO SAFE STOP HERE\, EXIT NOW ?","\"ENGINE IS TOO OLD for this data folder.\nPlease get a more recent version.\n\nYour version is:\t%u\nVersion needed:\t%u\n\nIT'S STRONGLY ADVISED TO SAFE STOP HERE\, EXIT NOW ?\"","ds"
"820015b0","update:\patch","\"update:\\patch\"","ds"
"820015c0","Ubi Art Framework %s %s - port:%d - branch:%s","\"Ubi Art Framework %s %s - port:%d - branch:%s\"","ds"
"820015f0","undefined","\"undefined\"","ds"
"820017b4","SystemAdapter_x360","\"SystemAdapter_x360\"","ds"
"820017c8","GFXAdapter_Directx9","\"GFXAdapter_Directx9\"","ds"
"820018e8","appPath=%s;","\"appPath=%s;\"","ds"
"820018f8","XLNI_DASH_NUIHUB","\"XLNI_DASH_NUIHUB\"","ds"
"8200190c","XLNI_DASH_ARCADE","\"XLNI_DASH_ARCADE\"","ds"
"82001920","XLNI_DET_MEDIA","\"XLNI_DET_MEDIA\"","ds"
"82002bfb",".[XAPI RETURN VALUE] %d
","\".[XAPI RETURN VALUE] %d\n\"","ds"
"82002c60","Unknown","\"Unknown\"","ds"
"82002c68","DirectCall","\"DirectCall\"","ds"
"82002c74","RootObjectNewDelete","\"RootObjectNewDelete\"","ds"
"82002c88","RootObjectNewDeleteArray","\"RootObjectNewDeleteArray\"","ds"
"82002ca4","GlobalNewDelete","\"GlobalNewDelete\"","ds"
"82002cb4","GlobalNewDeleteArray","\"GlobalNewDeleteArray\"","ds"
"82002ccc","AllocatorClass","\"AllocatorClass\"","ds"
"82002cdc","qSpecialNewDelete","\"qSpecialNewDelete\"","ds"
"82002cf0","qSpecialNewDeleteArray","\"qSpecialNewDeleteArray\"","ds"
"82002d08","qAllocFree","\"qAllocFree\"","ds"
"82002d14","/Incoming","\"/Incoming\"","ds"
"82002d20","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/BadEvents.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/BadEvents.cpp\"","ds"
"82002d80","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/BandwidthCounter.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/BandwidthCounter.cpp\"","ds"
"82002de4","%s %s","\"%s %s\"","ds"
"82002dec","/Outgoing","\"/Outgoing\"","ds"
"82002df8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/BandwidthCounter.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/BandwidthCounter.cpp\"","ds"
"82002e64","%s\, version %d.%d.%d.%d
","\"%s\, version %d.%d.%d.%d\n\"","ds"
"82002e90","Press any key to abort...","\"Press any key to abort...\"","ds"
"82002eac","Never","\"Never\"","ds"
"82002eb4","%04d-%02d-%02d %02d:%02d:%02d","\"%04d-%02d-%02d %02d:%02d:%02d\"","ds"
"82002ed4","Never *** INVALID DATE ***","\"Never *** INVALID DATE ***\"","ds"
"82002ef0","%04d-%02d-%02d %02d:%02d:%02d *** INVALID DATE ***","\"%04d-%02d-%02d %02d:%02d:%02d *** INVALID DATE ***\"","ds"
"82002f24","WARNING","\"WARNING\"","ds"
"82002f2c","Error Event","\"Error Event\"","ds"
"82002f38","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp\"","ds"
"82002f98","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp\"","ds"
"82002ff8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp\"","ds"
"82003058","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp\"","ds"
"820030b8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp\"","ds"
"82003118","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventHandler.cpp\"","ds"
"82003178","DEBUG","\"DEBUG\"","ds"
"82003188","ERROR","\"ERROR\"","ds"
"82003190","FATAL","\"FATAL\"","ds"
"82003198","UNKNOWN","\"UNKNOWN\"","ds"
"820031a0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp\"","ds"
"820031fc","Fatal Event","\"Fatal Event\"","ds"
"82003208","This counter returns the number of warning events that occur per second","\"This counter returns the number of warning events that occur per second\"","ds"
"82003250","Warning Event","\"Warning Event\"","ds"
"82003260","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp\"","ds"
"820032c0","This counter returns the number of error events that occur per second","\"This counter returns the number of error events that occur per second\"","ds"
"82003308","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp\"","ds"
"82003370","This counter returns the number of fatal events that occur per second","\"This counter returns the number of fatal events that occur per second\"","ds"
"820033b8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/EventLog.cpp\"","ds"
"82003420","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/File.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/File.cpp\"","ds"
"82003488","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp\"","ds"
"820034e0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp\"","ds"
"82003538","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp\"","ds"
"82003590","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp\"","ds"
"820035e8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Log.cpp\"","ds"
"82003648","**** Could not close file handle *****","\"**** Could not close file handle *****\"","ds"
"8200367c","Default memory manager","\"Default memory manager\"","ds"
"82003698","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MemoryManager.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MemoryManager.cpp\"","ds"
"820036fc","!m_bSyncThread","\"!m_bSyncThread\"","ds"
"82003710","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MemoryManager.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MemoryManager.cpp\"","ds"
"82003778","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MutexPrimitive.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MutexPrimitive.cpp\"","ds"
"820037dc","Da:%4d-%02d-%02d %02d:%02d:%02d|","\"Da:%4d-%02d-%02d %02d:%02d:%02d|\"","ds"
"82003800","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MutexPrimitive.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/MutexPrimitive.cpp\"","ds"
"8200386c","S:unknown|","\"S:unknown|\"","ds"
"82003878","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp\"","ds"
"820038e8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp\"","ds"
"8200394c","Co:unknown|","\"Co:unknown|\"","ds"
"82003958","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp\"","ds"
"820039c0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ObjectThreadRoot.cpp\"","ds"
"82003a4c","CID:unknown|","\"CID:unknown|\"","ds"
"82003a64","PID: system|","\"PID: system|\"","ds"
