"No.","Time","Source","Destination","Protocol","Length","Info"
"1340","313.734410","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1341","313.844416","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1342","314.295263","192.168.50.48","192.168.50.47","TCP","60","53797  >  2869 [FIN, ACK] Seq=699 Ack=728 Win=16793 Len=0"
"1343","314.295409","192.168.50.47","192.168.50.48","TCP","54","2869  >  53797 [FIN, ACK] Seq=728 Ack=700 Win=1051136 Len=0"
"1344","314.296105","192.168.50.48","192.168.50.47","TCP","60","53797  >  2869 [ACK] Seq=700 Ack=729 Win=16793 Len=0"
"1345","314.496280","192.168.50.1","255.255.255.255","UDP","554","9999  >  9999 Len=512"
"1346","314.598679","192.168.50.1","255.255.255.255","UDP","554","9999  >  9999 Len=512"
"1347","314.724412","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1348","315.110061","fe80::52eb:f6ff:fe89:7c68","ff02::1","ICMPv6","142","Router Advertisement from 50:eb:f6:89:7c:68"
"1349","315.864563","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1350","317.106080","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff57:4136","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:bcd9:82c7:e157:4136 from 00:e0:4c:68:0a:27"
"1351","317.865733","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1352","318.182088","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1353","319.103664","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1354","319.874319","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1355","320.127603","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1356","321.561248","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1357","321.884390","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1358","322.175703","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1359","322.585239","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1360","323.097300","fe80::52eb:f6ff:fe89:7c68","ff02::1","ICMPv6","142","Router Advertisement from 50:eb:f6:89:7c:68"
"1361","323.174371","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1362","323.609205","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1363","323.894301","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1364","324.176562","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1365","324.940403","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1366","325.184290","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1367","325.894445","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1368","325.964384","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1369","326.228593","Intel_3f:d4:55","Broadcast","ARP","42","Who has 169.254.169.254? Tell 192.168.50.47 (duplicate use of 192.168.50.47 detected!)"
"1370","326.988338","fe80::52eb:f6ff:fe89:7c68","ff02::1:ff01:f9b4","ICMPv6","86","Neighbor Solicitation for 2001:4453:38f:b300:a1f4:6da2:601:f9b4 from 00:e0:4c:68:0a:27"
"1371","327.024148","Intel_3f:d4:55","Broadcast","ARP","42","Who has 169.254.169.254? Tell 192.168.50.47 (duplicate use of 192.168.50.47 detected!)"
"1372","327.398406","Intel_3f:d4:55","Nearest-Bridge","LLDP","58","MA/7c:5c:f8:3f:d4:55 MA/7c:5c:f8:3f:d4:55 3601 "
"1373","327.398471","RealtekSemic_68:0a:27","Broadcast","ARP","42","Who has 192.168.50.82? Tell 192.168.50.1"
"1374","327.908196","RealtekSemic_68:0a:27","Nearest-Customer-Bridge","STP","52","Conf. Root = 32768/0/7c:5c:f8:3f:d4:55  Cost = 0  Port = 0x8001"
"1375","328.024321","Intel_3f:d4:55","Broadcast","ARP","42","Who has 169.254.169.254? Tell 192.168.50.47 (duplicate use of 192.168.50.47 detected!)"
